date,day_of_week,meal_type,expected_customers,temperature,weather,special_event,is_weekend,prev_quantity_consumed,prev_quantity_wasted,rolling_avg_consumption,recent_demand_trend,quantity_prepared,quantity_consumed,quantity_wasted,waste_percentage
2026-01-09,Friday,Lunch,228,20.8,Sunny,0,0,99.4,6.7,218.2,-0.5,233.2,205.8,27.4,11.7
2026-01-09,Friday,Dinner,232,19.8,Cloudy,1,0,205.8,27.4,177.7,15.3,252.0,219.6,32.4,12.9
2026-01-10,Saturday,Breakfast,66,14.2,Rainy,0,1,219.6,32.4,94.0,5.4,65.6,65.6,0.0,0.0
2026-01-10,Saturday,Lunch,173,21.2,Sunny,0,1,65.6,0.0,211.3,-5.5,181.2,164.4,16.8,9.3
2026-01-10,Saturday,Dinner,159,23.2,Sunny,0,1,164.4,16.8,194.2,25.4,166.9,158.0,8.9,5.3
2026-01-11,Sunday,Breakfast,83,22.2,Sunny,1,1,158.0,8.9,85.1,-19.5,82.8,82.6,0.2,0.2
2026-01-11,Sunday,Lunch,189,20.5,Sunny,0,1,82.6,0.2,196.0,-31.6,194.7,186.9,7.8,4.0
2026-01-11,Sunday,Dinner,140,17.5,Cloudy,0,1,186.9,7.8,190.2,-32.2,159.5,138.3,21.2,13.3
2026-01-12,Monday,Breakfast,91,22.7,Sunny,0,0,138.3,21.2,82.5,0.1,86.5,80.1,6.4,7.4
2026-01-12,Monday,Lunch,216,16.5,Rainy,0,0,80.1,6.4,185.7,1.2,234.0,211.8,22.2,9.5
2026-01-12,Monday,Dinner,169,24.5,Sunny,0,0,211.8,22.2,172.0,-33.7,161.7,161.7,0.0,0.0
2026-01-13,Tuesday,Breakfast,104,18.8,Cloudy,0,0,161.7,0.0,76.1,4.0,116.9,91.8,25.1,21.5
2026-01-13,Tuesday,Lunch,229,19.3,Sunny,0,0,91.8,25.1,187.7,24.1,232.0,215.9,16.1,6.9
2026-01-13,Tuesday,Dinner,171,22.4,Sunny,0,0,215.9,16.1,152.7,9.0,200.7,161.1,39.6,19.7
2026-01-14,Wednesday,Breakfast,94,17.0,Cloudy,0,0,161.1,39.6,84.8,7.0,90.0,90.0,0.0,0.0
2026-01-14,Wednesday,Lunch,223,19.6,Cloudy,0,0,90.0,0.0,204.9,11.0,249.0,213.2,35.8,14.4
2026-01-14,Wednesday,Dinner,182,26.0,Cloudy,0,0,213.2,35.8,153.7,7.4,182.4,172.3,10.1,5.5
2026-01-15,Thursday,Breakfast,94,22.5,Sunny,0,0,172.3,10.1,87.3,2.7,97.7,97.7,0.0,0.0
2026-01-15,Thursday,Lunch,208,18.8,Sunny,0,0,97.7,0.0,213.6,-0.4,223.6,193.2,30.4,13.6
2026-01-15,Thursday,Dinner,166,20.2,Cloudy,0,0,193.2,30.4,165.0,7.3,171.2,156.4,14.8,8.6
2026-01-16,Friday,Breakfast,100,18.1,Cloudy,0,0,156.4,14.8,93.2,4.5,104.5,97.1,7.4,7.1
2026-01-16,Friday,Lunch,263,18.4,Cloudy,1,0,97.1,7.4,207.4,-14.2,278.2,258.6,19.6,7.0
2026-01-16,Friday,Dinner,183,23.8,Sunny,0,0,258.6,19.6,163.3,-6.9,210.1,160.7,49.4,23.5
2026-01-17,Saturday,Breakfast,69,20.0,Cloudy,0,1,160.7,49.4,94.9,2.2,66.7,54.2,12.5,18.7
2026-01-17,Saturday,Lunch,225,18.5,Cloudy,1,1,54.2,12.5,221.7,36.9,227.5,227.5,0.0,0.0
2026-01-17,Saturday,Dinner,151,20.0,Sunny,0,1,227.5,0.0,163.1,-2.4,171.5,153.4,18.1,10.6
2026-01-18,Sunday,Breakfast,60,19.8,Sunny,0,1,153.4,18.1,83.0,-28.8,67.5,67.5,0.0,0.0
2026-01-18,Sunday,Lunch,176,19.1,Cloudy,0,1,67.5,0.0,226.4,1.1,185.6,166.2,19.4,10.5
2026-01-18,Sunday,Dinner,160,20.6,Cloudy,0,1,166.2,19.4,156.8,-3.4,175.5,150.9,24.6,14.0
2026-01-19,Monday,Breakfast,101,14.6,Rainy,0,0,150.9,24.6,72.9,-5.4,94.2,94.2,0.0,0.0
2026-01-19,Monday,Lunch,224,21.0,Cloudy,0,0,94.2,0.0,217.4,-51.2,250.3,214.6,35.7,14.3
2026-01-19,Monday,Dinner,172,23.5,Sunny,0,0,214.6,35.7,155.0,-4.1,173.2,161.5,11.7,6.8
2026-01-20,Tuesday,Breakfast,109,19.8,Cloudy,0,0,161.5,11.7,72.0,22.2,121.0,99.4,21.6,17.9
2026-01-20,Tuesday,Lunch,232,22.6,Sunny,0,0,99.4,21.6,202.8,11.8,225.2,222.9,2.3,1.0
2026-01-20,Tuesday,Dinner,177,22.0,Sunny,0,0,222.9,2.3,155.3,6.2,209.7,162.1,47.6,22.7
2026-01-21,Wednesday,Breakfast,106,19.1,Rainy,0,0,162.1,47.6,87.0,12.4,107.0,96.8,10.2,9.5
2026-01-21,Wednesday,Lunch,210,17.5,Cloudy,0,0,96.8,10.2,201.2,21.7,226.6,197.3,29.3,12.9
2026-01-21,Wednesday,Dinner,188,22.1,Sunny,0,0,197.3,29.3,158.2,3.9,196.0,179.6,16.4,8.4
2026-01-22,Thursday,Breakfast,97,21.7,Sunny,0,0,179.6,16.4,96.8,-0.0,108.6,92.6,16.0,14.7
2026-01-22,Thursday,Lunch,213,21.8,Cloudy,0,0,92.6,16.0,211.6,-14.3,237.1,195.2,41.9,17.7
2026-01-22,Thursday,Dinner,176,22.4,Sunny,0,0,195.2,41.9,167.7,11.9,179.7,165.4,14.3,8.0
2026-01-23,Friday,Breakfast,104,25.1,Sunny,0,0,165.4,14.3,96.3,-3.7,108.1,97.0,11.1,10.3
2026-01-23,Friday,Lunch,220,16.6,Rainy,0,0,97.0,11.1,205.1,-9.9,252.1,222.5,29.6,11.7
2026-01-23,Friday,Dinner,180,23.7,Sunny,0,0,222.5,29.6,169.0,-3.6,183.4,179.4,4.0,2.2
2026-01-24,Saturday,Breakfast,59,21.6,Cloudy,0,1,179.4,4.0,95.5,1.5,64.3,62.3,2.0,3.1
2026-01-24,Saturday,Lunch,158,22.6,Sunny,0,1,62.3,2.0,205.0,17.5,180.6,143.2,37.4,20.7
2026-01-24,Saturday,Dinner,132,16.2,Rainy,0,1,143.2,37.4,174.8,4.6,141.3,131.9,9.4,6.7
2026-01-25,Sunday,Breakfast,68,21.3,Cloudy,0,1,131.9,9.4,84.0,-21.7,77.9,72.2,5.7,7.3
2026-01-25,Sunday,Lunch,180,22.2,Sunny,0,1,72.2,5.7,187.0,-43.8,202.1,168.6,33.5,16.6
2026-01-25,Sunday,Dinner,143,15.6,Cloudy,0,1,168.6,33.5,158.9,-27.0,152.2,134.5,17.7,11.6
2026-01-26,Monday,Breakfast,98,16.2,Rainy,0,0,134.5,17.7,77.2,-5.0,99.6,84.8,14.8,14.9
2026-01-26,Monday,Lunch,227,13.6,Rainy,0,0,84.8,14.8,178.1,-9.5,230.1,211.7,18.4,8.0
2026-01-26,Monday,Dinner,181,22.4,Cloudy,0,0,211.7,18.4,148.6,-14.1,211.7,181.0,30.7,14.5
2026-01-27,Tuesday,Breakfast,100,25.0,Sunny,0,0,181.0,30.7,73.1,11.7,101.4,98.5,2.9,2.9
2026-01-27,Tuesday,Lunch,197,25.6,Sunny,0,0,98.5,2.9,174.5,37.2,209.3,195.3,14.0,6.7
2026-01-27,Tuesday,Dinner,156,16.5,Rainy,0,0,195.3,14.0,149.1,31.9,182.7,164.3,18.4,10.1
2026-01-28,Wednesday,Breakfast,99,13.8,Rainy,0,0,164.3,18.4,85.2,13.3,102.5,102.5,0.0,0.0
2026-01-28,Wednesday,Lunch,225,23.2,Sunny,0,0,102.5,0.0,191.9,3.4,226.8,202.4,24.4,10.8
2026-01-28,Wednesday,Dinner,168,24.5,Sunny,0,0,202.4,24.4,159.9,4.4,168.5,161.3,7.2,4.3
2026-01-29,Thursday,Breakfast,98,20.0,Rainy,0,0,161.3,7.2,95.3,7.2,100.3,92.3,8.0,8.0
2026-01-29,Thursday,Lunch,201,21.9,Sunny,0,0,92.3,8.0,203.1,-0.7,211.3,187.6,23.7,11.2
2026-01-29,Thursday,Dinner,180,23.1,Sunny,0,0,187.6,23.7,168.9,-7.6,194.2,164.3,29.9,15.4
2026-01-30,Friday,Breakfast,135,16.8,Rainy,1,0,164.3,29.9,97.8,-5.5,137.7,132.0,5.7,4.1
2026-01-30,Friday,Lunch,203,22.4,Sunny,0,0,132.0,5.7,195.1,-7.5,216.4,180.2,36.2,16.7
2026-01-30,Friday,Dinner,243,22.9,Cloudy,1,0,180.2,36.2,163.3,1.0,263.0,228.8,34.2,13.0
2026-01-31,Saturday,Breakfast,60,21.7,Sunny,0,1,228.8,34.2,108.9,23.1,57.2,45.2,12.0,21.0
2026-01-31,Saturday,Lunch,214,23.9,Sunny,1,1,45.2,12.0,190.1,-9.9,223.8,203.0,20.8,9.3
2026-01-31,Saturday,Dinner,162,23.9,Sunny,0,1,203.0,20.8,184.8,44.0,156.5,152.2,4.3,2.7
2026-02-01,Sunday,Breakfast,57,26.2,Sunny,0,1,152.2,4.3,89.8,-44.6,57.9,57.9,0.0,0.0
2026-02-01,Sunday,Lunch,158,26.1,Sunny,0,1,57.9,0.0,190.3,12.7,159.8,138.7,21.1,13.2
2026-02-01,Sunday,Dinner,148,24.6,Sunny,0,1,138.7,21.1,181.8,-29.6,147.2,136.2,11.0,7.5
2026-02-02,Monday,Breakfast,104,19.2,Sunny,0,0,136.2,11.0,78.4,-20.5,118.8,96.1,22.7,19.1
2026-02-02,Monday,Lunch,210,15.0,Rainy,0,0,96.1,22.7,174.0,-35.3,211.9,202.1,9.8,4.6
2026-02-02,Monday,Dinner,197,20.3,Rainy,0,0,202.1,9.8,172.4,-36.2,214.1,188.4,25.7,12.0
2026-02-03,Tuesday,Breakfast,97,24.8,Sunny,0,0,188.4,25.7,66.4,29.7,97.1,89.0,8.1,8.3
2026-02-03,Tuesday,Lunch,223,21.7,Sunny,0,0,89.0,8.1,181.3,20.8,233.5,205.1,28.4,12.2
2026-02-03,Tuesday,Dinner,173,23.8,Sunny,0,0,205.1,28.4,158.9,29.5,181.9,167.9,14.0,7.7
2026-02-04,Wednesday,Breakfast,114,19.5,Cloudy,0,0,167.9,14.0,81.0,8.0,127.8,111.2,16.6,13.0
2026-02-04,Wednesday,Lunch,222,16.5,Rainy,0,0,111.2,16.6,182.0,23.1,227.3,218.2,9.1,4.0
2026-02-04,Wednesday,Dinner,197,24.7,Sunny,0,0,218.2,9.1,164.2,3.7,210.4,187.5,22.9,10.9
2026-02-05,Thursday,Breakfast,103,23.2,Sunny,0,0,187.5,22.9,98.8,12.4,101.9,101.9,0.0,0.0
2026-02-05,Thursday,Lunch,232,23.4,Sunny,0,0,101.9,0.0,208.5,9.7,247.3,203.8,43.5,17.6
2026-02-05,Thursday,Dinner,162,22.1,Sunny,0,0,203.8,43.5,181.3,6.2,175.4,152.4,23.0,13.1
2026-02-06,Friday,Breakfast,100,25.6,Sunny,0,0,152.4,23.0,100.7,1.2,93.6,83.6,10.0,10.7
2026-02-06,Friday,Lunch,232,23.1,Cloudy,0,0,83.6,10.0,209.0,-5.2,258.7,218.7,40.0,15.5
2026-02-06,Friday,Dinner,171,22.0,Sunny,0,0,218.7,40.0,169.3,-16.9,181.8,161.2,20.6,11.3
2026-02-07,Saturday,Breakfast,67,16.2,Rainy,0,1,161.2,20.6,98.9,-15.3,62.8,62.5,0.3,0.5
2026-02-07,Saturday,Lunch,188,25.8,Sunny,0,1,62.5,0.3,213.6,5.1,194.4,179.6,14.8,7.6
2026-02-07,Saturday,Dinner,154,27.5,Sunny,0,1,179.6,14.8,167.0,-5.8,169.2,150.6,18.6,11.0
2026-02-08,Sunday,Breakfast,75,24.5,Sunny,0,1,150.6,18.6,82.7,-20.2,82.6,71.3,11.3,13.7
2026-02-08,Sunday,Lunch,179,18.5,Rainy,0,1,71.3,11.3,200.7,-21.1,194.7,167.4,27.3,14.0
2026-02-08,Sunday,Dinner,154,24.5,Sunny,0,1,167.4,27.3,154.7,-4.1,168.6,137.8,30.8,18.3
2026-02-09,Monday,Breakfast,115,21.0,Cloudy,0,0,137.8,30.8,72.5,-1.2,111.8,111.8,0.0,0.0
2026-02-09,Monday,Lunch,278,26.2,Sunny,1,0,111.8,0.0,188.6,-21.2,299.5,262.6,36.9,12.3
2026-02-09,Monday,Dinner,193,14.3,Rainy,0,0,262.6,36.9,149.9,-12.1,196.6,183.4,13.2,6.7
2026-02-10,Tuesday,Breakfast,99,22.3,Sunny,0,0,183.4,13.2,81.9,29.9,112.3,74.2,38.1,33.9
2026-02-10,Tuesday,Lunch,206,24.2,Sunny,0,0,74.2,38.1,203.2,59.4,216.2,197.3,18.9,8.7
2026-02-10,Tuesday,Dinner,178,22.9,Sunny,0,0,197.3,18.9,157.3,26.1,186.3,185.3,1.0,0.5
2026-02-11,Wednesday,Breakfast,99,21.5,Cloudy,0,0,185.3,1.0,85.8,-11.6,101.5,94.1,7.4,7.3
2026-02-11,Wednesday,Lunch,205,29.0,Sunny,0,0,94.1,7.4,209.1,-11.8,220.4,190.9,29.5,13.4
2026-02-11,Wednesday,Dinner,167,27.1,Sunny,0,0,190.9,29.5,168.8,16.5,163.6,158.4,5.2,3.2
2026-02-12,Thursday,Breakfast,103,17.2,Rainy,0,0,158.4,5.2,93.4,0.7,103.0,93.2,9.8,9.5
2026-02-12,Thursday,Lunch,218,27.7,Sunny,0,0,93.2,9.8,216.9,-26.0,224.5,205.1,19.4,8.6
2026-02-12,Thursday,Dinner,178,24.7,Sunny,0,0,205.1,19.4,175.7,-17.3,187.2,158.8,28.4,15.2
2026-02-13,Friday,Breakfast,101,25.9,Sunny,0,0,158.8,28.4,87.2,6.0,98.1,96.7,1.4,1.4
2026-02-13,Friday,Lunch,207,20.4,Cloudy,0,0,96.7,1.4,197.8,7.3,219.4,196.9,22.5,10.3
2026-02-13,Friday,Dinner,166,15.3,Rainy,0,0,196.9,22.5,167.5,-8.7,167.3,157.0,10.3,6.2
2026-02-14,Saturday,Breakfast,51,26.0,Sunny,0,1,157.0,10.3,94.7,2.0,53.1,33.4,19.7,37.1
2026-02-14,Saturday,Lunch,188,20.7,Rainy,0,1,33.4,19.7,197.6,-0.7,209.9,184.0,25.9,12.3
2026-02-14,Saturday,Dinner,160,28.5,Sunny,0,1,184.0,25.9,158.1,-1.1,175.2,151.6,23.6,13.5
2026-02-15,Sunday,Breakfast,50,24.4,Sunny,0,1,151.6,23.6,74.4,-41.0,49.7,49.7,0.0,0.0
2026-02-15,Sunday,Lunch,235,20.9,Cloudy,1,1,49.7,0.0,195.3,-11.3,255.4,229.7,25.7,10.1
2026-02-15,Sunday,Dinner,151,23.5,Cloudy,0,1,229.7,25.7,155.8,-4.2,152.3,147.6,4.7,3.1
2026-02-16,Monday,Breakfast,101,24.2,Sunny,0,0,147.6,4.7,59.9,-10.2,105.0,90.7,14.3,13.6
2026-02-16,Monday,Lunch,227,22.3,Sunny,0,0,90.7,14.3,203.5,26.2,242.4,201.1,41.3,17.0
2026-02-16,Monday,Dinner,181,22.0,Cloudy,0,0,201.1,41.3,152.1,-4.5,185.5,166.1,19.4,10.5
2026-02-17,Tuesday,Breakfast,97,25.1,Sunny,0,0,166.1,19.4,57.9,32.8,97.7,92.9,4.8,4.9
2026-02-17,Tuesday,Lunch,219,25.5,Cloudy,0,0,92.9,4.8,204.9,-3.8,244.5,210.8,33.7,13.8
2026-02-17,Tuesday,Dinner,160,20.9,Cloudy,0,0,210.8,33.7,155.1,11.0,154.6,154.6,0.0,0.0
2026-02-18,Wednesday,Breakfast,98,15.6,Rainy,0,0,154.6,0.0,77.8,15.1,109.5,98.7,10.8,9.9
2026-02-18,Wednesday,Lunch,214,23.1,Cloudy,0,0,98.7,10.8,213.9,-3.1,229.0,205.6,23.4,10.2
2026-02-18,Wednesday,Dinner,181,26.5,Sunny,0,0,205.6,23.4,156.1,-1.5,196.6,162.6,34.0,17.3
2026-02-19,Thursday,Breakfast,106,20.0,Rainy,0,0,162.6,34.0,94.1,4.6,109.6,103.3,6.3,5.7
2026-02-19,Thursday,Lunch,226,22.6,Sunny,0,0,103.3,6.3,205.8,-0.2,236.7,214.0,22.7,9.6
2026-02-19,Thursday,Dinner,184,21.2,Cloudy,0,0,214.0,22.7,161.1,1.5,196.4,159.5,36.9,18.8
2026-02-20,Friday,Breakfast,101,26.7,Sunny,0,0,159.5,36.9,98.3,5.0,105.7,95.5,10.2,9.6
2026-02-20,Friday,Lunch,236,24.1,Cloudy,0,0,95.5,10.2,210.1,3.9,249.4,217.1,32.3,13.0
2026-02-20,Friday,Dinner,183,26.8,Sunny,0,0,217.1,32.3,158.9,0.6,185.6,168.9,16.7,9.0
2026-02-21,Saturday,Breakfast,58,24.9,Cloudy,0,1,168.9,16.7,99.2,-3.7,60.3,48.9,11.4,18.9
2026-02-21,Saturday,Lunch,160,21.8,Sunny,0,1,48.9,11.4,212.2,4.9,182.2,157.3,24.9,13.7
2026-02-21,Saturday,Dinner,165,24.9,Sunny,0,1,157.3,24.9,163.7,5.2,169.5,166.4,3.1,1.8
2026-02-22,Sunday,Breakfast,56,24.4,Sunny,0,1,166.4,3.1,82.6,-33.7,56.3,48.2,8.1,14.4
2026-02-22,Sunday,Lunch,171,20.5,Rainy,0,1,48.2,8.1,196.1,-38.8,189.9,159.4,30.5,16.1
2026-02-22,Sunday,Dinner,148,23.0,Cloudy,0,1,159.4,30.5,164.9,1.5,153.7,140.5,13.2,8.6
2026-02-23,Monday,Breakfast,97,22.7,Sunny,0,0,140.5,13.2,64.2,-16.0,98.5,95.3,3.2,3.2
2026-02-23,Monday,Lunch,234,19.4,Rainy,0,0,95.3,3.2,177.9,-18.5,246.3,228.1,18.2,7.4
2026-02-23,Monday,Dinner,170,24.0,Sunny,0,0,228.1,18.2,158.6,-18.1,182.0,159.7,22.3,12.3
2026-02-24,Tuesday,Breakfast,94,16.2,Cloudy,0,0,159.7,22.3,64.1,31.2,95.0,84.9,10.1,10.6
2026-02-24,Tuesday,Lunch,223,27.4,Sunny,0,0,84.9,10.1,181.6,46.5,244.3,211.8,32.5,13.3
2026-02-24,Tuesday,Dinner,187,19.2,Rainy,0,0,211.8,32.5,155.5,4.2,194.9,190.7,4.2,2.2
2026-02-25,Wednesday,Breakfast,97,24.7,Cloudy,0,0,190.7,4.2,76.1,8.8,107.5,85.3,22.2,20.7
2026-02-25,Wednesday,Lunch,225,26.3,Sunny,0,0,85.3,22.2,199.8,12.0,225.9,212.8,13.1,5.8
2026-02-25,Wednesday,Dinner,196,25.7,Sunny,0,0,212.8,13.1,163.6,27.1,206.4,185.7,20.7,10.0
2026-02-26,Thursday,Breakfast,100,23.6,Cloudy,0,0,185.7,20.7,88.5,-3.2,93.1,93.1,0.0,0.0
2026-02-26,Thursday,Lunch,217,19.0,Rainy,0,0,93.1,0.0,217.6,-4.8,239.3,209.8,29.5,12.3
2026-02-26,Thursday,Dinner,190,22.4,Sunny,0,0,209.8,29.5,178.7,7.0,201.9,174.7,27.2,13.5
2026-02-27,Friday,Breakfast,129,26.4,Sunny,1,0,174.7,27.2,87.8,5.3,132.0,110.9,21.1,16.0
2026-02-27,Friday,Lunch,214,19.7,Cloudy,0,0,110.9,21.1,211.5,-1.7,201.0,191.0,10.0,5.0
2026-02-27,Friday,Dinner,192,18.8,Cloudy,0,0,191.0,10.0,183.7,-9.0,207.2,189.7,17.5,8.4
2026-02-28,Saturday,Breakfast,53,18.4,Rainy,0,1,189.7,17.5,96.4,14.5,56.0,56.0,0.0,0.0
2026-02-28,Saturday,Lunch,187,23.9,Sunny,0,1,56.0,0.0,204.5,-13.5,192.8,174.3,18.5,9.6
2026-02-28,Saturday,Dinner,150,26.0,Sunny,0,1,174.3,18.5,183.4,6.3,178.2,140.4,37.8,21.2
2026-03-01,Sunday,Breakfast,64,27.9,Sunny,0,1,140.4,37.8,86.7,-30.7,66.1,65.2,0.9,1.4
2026-03-01,Sunday,Lunch,180,21.2,Cloudy,0,1,65.2,0.9,191.7,-17.4,200.9,170.6,30.3,15.1
2026-03-01,Sunday,Dinner,157,27.2,Sunny,0,1,170.6,30.3,168.3,-27.9,159.4,142.3,17.1,10.7
2026-03-02,Monday,Breakfast,99,24.7,Sunny,0,0,142.3,17.1,77.4,-12.2,103.3,98.9,4.4,4.3
2026-03-02,Monday,Lunch,283,24.8,Sunny,1,0,98.9,4.4,178.6,-8.0,302.4,269.7,32.7,10.8
2026-03-02,Monday,Dinner,168,24.8,Cloudy,0,0,269.7,32.7,157.5,-15.2,166.0,151.2,14.8,8.9
2026-03-03,Tuesday,Breakfast,114,19.0,Rainy,0,0,151.2,14.8,73.4,25.5,125.6,111.6,14.0,11.1
2026-03-03,Tuesday,Lunch,220,24.5,Sunny,0,0,111.6,14.0,204.9,64.8,238.0,199.8,38.2,16.1
2026-03-03,Tuesday,Dinner,174,22.6,Cloudy,0,0,199.8,38.2,144.6,6.6,168.5,160.4,8.1,4.8
2026-03-04,Wednesday,Breakfast,102,26.4,Cloudy,0,0,160.4,8.1,91.9,19.7,106.8,102.1,4.7,4.4
2026-03-04,Wednesday,Lunch,221,24.3,Cloudy,0,0,102.1,4.7,213.4,-13.6,247.4,214.4,33.0,13.3
2026-03-04,Wednesday,Dinner,203,26.9,Sunny,0,0,214.4,33.0,151.3,9.1,219.0,186.3,32.7,14.9
2026-03-05,Thursday,Breakfast,93,25.4,Sunny,0,0,186.3,32.7,104.2,-2.1,95.4,83.7,11.7,12.3
2026-03-05,Thursday,Lunch,218,28.6,Cloudy,0,0,83.7,11.7,228.0,-13.6,223.8,205.2,18.6,8.3
2026-03-05,Thursday,Dinner,191,23.5,Cloudy,0,0,205.2,18.6,166.0,20.3,219.6,178.8,40.8,18.6
2026-03-06,Friday,Breakfast,94,20.0,Cloudy,0,0,178.8,40.8,99.1,-15.4,91.9,89.9,2.0,2.2
2026-03-06,Friday,Lunch,198,25.2,Cloudy,0,0,89.9,2.0,206.5,-1.3,214.9,182.1,32.8,15.3
2026-03-06,Friday,Dinner,166,20.3,Rainy,0,0,182.1,32.8,175.2,3.6,175.4,158.3,17.1,9.7
2026-03-07,Saturday,Breakfast,61,20.1,Rainy,0,1,158.3,17.1,91.9,-2.0,65.3,57.7,7.6,11.6
2026-03-07,Saturday,Lunch,190,26.1,Sunny,0,1,57.7,7.6,200.6,-18.5,194.0,186.6,7.4,3.8
2026-03-07,Saturday,Dinner,161,23.3,Sunny,0,1,186.6,7.4,174.5,-16.2,175.0,142.6,32.4,18.5
2026-03-08,Sunday,Breakfast,58,20.7,Cloudy,0,1,142.6,32.4,77.1,-19.4,55.9,55.1,0.8,1.4
2026-03-08,Sunday,Lunch,184,21.2,Cloudy,0,1,55.1,0.8,191.3,-4.7,202.9,163.2,39.7,19.6
2026-03-08,Sunday,Dinner,166,28.0,Sunny,0,1,163.2,39.7,159.9,-17.3,172.2,158.7,13.5,7.8
2026-03-09,Monday,Breakfast,98,20.4,Rainy,0,0,158.7,13.5,67.6,-12.5,98.5,92.2,6.3,6.4
2026-03-09,Monday,Lunch,206,26.3,Sunny,0,0,92.2,6.3,177.3,-14.1,206.5,194.2,12.3,6.0
2026-03-09,Monday,Dinner,181,23.0,Sunny,0,0,194.2,12.3,153.2,5.5,212.1,173.3,38.8,18.3
2026-03-10,Tuesday,Breakfast,117,22.9,Sunny,0,0,173.3,38.8,68.3,23.9,110.5,110.5,0.0,0.0
2026-03-10,Tuesday,Lunch,223,21.8,Cloudy,0,0,110.5,0.0,181.3,12.9,237.1,205.1,32.0,13.5
2026-03-10,Tuesday,Dinner,170,20.7,Rainy,0,0,205.1,32.0,158.2,15.1,174.2,167.7,6.5,3.7
2026-03-11,Wednesday,Breakfast,97,24.4,Cloudy,0,0,167.7,6.5,85.9,24.6,110.2,91.7,18.5,16.8
2026-03-11,Wednesday,Lunch,228,21.8,Cloudy,0,0,91.7,18.5,187.5,17.6,230.8,225.8,5.0,2.2
2026-03-11,Wednesday,Dinner,190,21.7,Cloudy,0,0,225.8,5.0,166.6,1.1,220.1,176.8,43.3,19.7
2026-03-12,Thursday,Breakfast,102,27.8,Sunny,0,0,176.8,43.3,98.1,-6.4,104.9,104.2,0.7,0.7
